Nimi;Väkiluku 2017;Väkiluvun muutos %;Työllisyysaste %;Taloudellinen huoltosuhde
Akaa;16769;-0.9;68.6;154.2
Alajärvi;9831;-0.7;65.5;187.7
Alavieska;2610;-1.1;68.3;169.3
Alavus;11713;-1.6;68.0;172.1
Asikkala;8248;-0.9;69.2;171.7
Askola;4990;-1.1;76.2;125.5
Aura;3991;0.2;76.4;123.7
Brändö;452;-4.0;78.6;121.1
Eckerö;948;2.2;79.6;105.8
Enonkoski;1416;-2.5;65.5;199.0
Enontekiö;1893;1.1;63.7;156.8
Espoo;279044;1.6;73.2;115.0
Eura;11910;-0.8;73.2;148.3
Eurajoki;9521;1.1;73.3;145.5
Evijärvi;2499;-1.4;73.4;147.3
Finström;2580;-0.5;82.9;102.2
Forssa;17185;-0.8;65.2;170.9
Föglö;532;-5.2;82.7;117.4
Geta;495;-0.8;78.4;109.7
Haapajärvi;7251;-1.1;65.5;177.8
Haapavesi;6970;-1.8;65.7;182.3
Hailuoto;967;-2.7;67.9;195.0
Halsua;1171;-3.9;71.0;170.9
Hamina;20493;-0.7;65.2;172.9
Hammarland;1547;2.6;83.6;101.1
Hankasalmi;5019;-2.7;62.6;199.1
Hanko;8517;-1.7;68.1;169.0
Harjavalta;7151;-1.2;65.7;181.8
Hartola;2882;-1.4;65.2;188.1
Hattula;9610;-0.7;74.9;131.4
Hausjärvi;8504;-1.6;73.2;132.1
Heinola;19128;-1.1;64.0;183.2
Heinävesi;3455;-1.7;60.4;220.0
Helsinki;643272;1.3;70.1;111.4
Hirvensalmi;2236;-1.7;62.9;197.6
Hollola;23782;0.0;72.7;145.2
Honkajoki;1707;-3.0;68.3;151.6
Huittinen;10207;-1.9;70.7;152.4
Humppila;2290;-2.3;68.0;158.8
Hyrynsalmi;2326;-3.3;58.5;218.7
Hyvinkää;46739;0.3;71.6;129.8
Hämeenkyrö;10599;-0.8;69.3;153.6
Hämeenlinna;67662;-0.3;68.9;148.7
Ii;9966;3.5;64.2;189.3
Iisalmi;21639;-0.6;66.3;157.9
Iitti;6820;-1.0;68.9;162.6
Ikaalinen;7119;-0.1;65.3;181.6
Ilmajoki;12205;0.3;73.7;140.2
Ilomantsi;5128;-2.1;58.5;225.3
Imatra;27269;-0.9;62.5;181.4
Inari;6869;0.6;68.9;136.2
Inkoo;5481;-1.9;77.1;131.6
Isojoki;2032;-2.3;69.5;165.5
Isokyrö;4673;-0.8;71.6;155.9
Janakkala;16607;-0.6;72.2;142.8
Joensuu;76067;0.3;60.3;163.2
Jokioinen;5286;-1.0;71.5;146.5
Jomala;4859;2.1;87.5;86.8
Joroinen;4917;-2.4;67.0;168.9
Joutsa;4567;-2.3;63.9;202.5
Juuka;4817;-2.5;56.6;226.4
Juupajoki;1904;-2.7;67.8;175.2
Juva;6334;-1.4;68.3;173.1
Jyväskylä;140188;1.0;63.9;143.5
Jämijärvi;1867;-2.5;68.2;173.2
Jämsä;20877;-1.8;65.5;178.4
Järvenpää;42572;2.5;74.2;114.4
Kaarina;33099;1.1;74.8;130.6
Kaavi;3048;-3.4;56.8;235.5
Kajaani;37239;-0.8;65.4;154.5
Kalajoki;12516;-0.6;71.4;155.3
Kangasala;31437;0.8;73.3;136.4
Kangasniemi;5549;-1.0;65.1;199.6
Kankaanpää;11585;-0.4;65.8;162.6
Kannonkoski;1408;-1.1;59.4;226.6
Kannus;5520;-1.0;69.1;156.8
Karijoki;1329;-1.5;71.7;151.7
Karkkila;8900;-0.1;70.5;149.6
Karstula;4146;-2.0;62.4;201.6
Karvia;2403;-1.9;66.1;179.6
Kaskinen;1274;-1.7;64.8;194.5
Kauhajoki;13610;-1.2;66.9;161.0
Kauhava;16278;-1.9;71.9;156.7
Kauniainen;9624;2.4;74.2;135.6
Kaustinen;4309;0.3;77.0;130.1
Keitele;2309;-1.6;64.9;180.0
Kemi;21256;-1.6;57.6;197.3
Kemijärvi;7534;-1.7;59.8;216.0
Keminmaa;8296;-0.2;68.1;157.6
Kemiönsaari;6793;-1.1;69.8;169.3
Kempele;17535;1.4;72.6;141.3
Kerava;35554;0.1;72.3;121.4
Keuruu;9919;-0.7;64.3;192.7
Kihniö;1967;-1.4;65.5;178.9
Kinnula;1656;-2.5;60.8;212.3
Kirkkonummi;39170;0.4;75.5;119.0
Kitee;10486;-2.2;60.0;204.9
Kittilä;6421;0.6;73.4;119.6
Kiuruvesi;8283;-1.9;64.4;183.8
Kivijärvi;1132;-2.5;58.9;239.5
Kokemäki;7381;-1.6;66.2;171.9
Kokkola;47723;0.0;70.1;148.3
Kolari;3854;0.7;69.2;144.8
Konnevesi;2748;-0.2;64.2;192.6
Kontiolahti;14830;0.2;73.0;133.3
Korsnäs;2154;-0.8;74.8;136.5
Koski Tl;2359;-2.4;72.3;164.6
Kotka;53539;-1.2;59.5;187.8
Kouvola;84196;-1.3;65.0;165.7
Kristiinankaupunki;6638;-1.3;72.6;158.4
Kruunupyy;6531;-1.3;78.5;130.1
Kuhmo;8499;-1.7;61.3;202.2
Kuhmoinen;2252;-1.5;63.9;230.8
Kumlinge;314;1.9;79.3;113.9
Kuopio;118209;0.4;65.9;142.4
Kuortane;3637;-1.4;71.9;164.9
Kurikka;21203;-1.4;68.6;165.5
Kustavi;923;1.7;66.5;185.5
Kuusamo;15386;-0.9;64.1;170.3
Kyyjärvi;1352;-1.7;65.7;198.9
Kärkölä;4508;-0.7;69.4;150.3
Kärsämäki;2611;-1.7;66.0;192.4
Kökar;236;-4.1;84.3;123.6
Lahti;119573;0.1;65.2;155.7
Laihia;8051;-1.1;75.0;138.8
Laitila;8610;1.1;73.7;140.3
Lapinjärvi;2706;-1.2;72.4;149.9
Lapinlahti;9692;-1.9;65.9;170.5
Lappajärvi;3140;-1.1;66.5;186.4
Lappeenranta;72909;0.1;64.6;154.4
Lapua;14494;-0.6;71.5;152.8
Laukaa;18978;0.0;70.5;155.7
Lemi;3063;-0.4;71.0;155.9
Lemland;2028;0.8;84.3;96.5
Lempäälä;22829;0.4;73.9;134.8
Leppävirta;9782;-0.8;66.6;170.9
Lestijärvi;789;-2.7;63.8;193.8
Lieksa;11297;-2.4;56.6;226.6
Lieto;19596;0.9;77.6;122.4
Liminka;10133;1.3;74.8;162.1
Liperi;12150;-1.2;68.4;151.5
Lohja;46785;-0.8;71.6;140.2
Loimaa;16150;-0.7;70.0;158.7
Loppi;8028;-0.9;75.0;140.9
Loviisa;15085;-0.8;69.8;153.3
Luhanka;734;-2.9;67.1;206.1
Lumijoki;2081;-1.1;68.0;191.1
Lumparland;395;2.6;85.7;105.9
Luoto;5264;1.7;82.3;134.6
Luumäki;4747;-1.7;69.3;171.4
Maalahti;5477;-0.7;76.6;136.2
Maarianhamina;11677;1.0;80.0;101.1
Marttila;1988;-1.6;71.4;153.3
Masku;9656;-0.2;79.2;118.0
Merijärvi;1119;-1.1;65.2;209.0
Merikarvia;3156;-0.4;63.2;206.8
